"","V1","V2","V3"
"1","pred_diff_B_RF_ordered","0.237477186687875"," "
"2","n","980"," "
"3","kor","41.2520408163265","avg"
"4","szolgho","73.765306122449","avg"
"5","iskveg","3.19795918367347","avg"
"6","feor_2","26.5428571428571","avg"
"7","feor_2","28","mode"
"8","ara","3.99489795918367","avg"
"9","kra","1.08367346938775","avg"
"10","letszam","719.858163265306","avg"
"11","ttip","2","mode"
"12","kshregio","2","mode"
"13","ag1","3","mode"
"14","kol","0.392857142857143","avg"
"15","kag","0.0336734693877551","avg"
"16","ksz","0.0193877551020408","avg"
"17","ev","2012"," "
