"","V1","V2","V3"
"1","pred_diff_B_RF_ordered","0.274291056890386"," "
"2","n","582"," "
"3","kor","41.7422680412371","avg"
"4","szolgho","84.2199312714777","avg"
"5","iskveg","3.14432989690722","avg"
"6","feor_2","25.4003436426117","avg"
"7","feor_2","27","mode"
"8","ara","3.99656357388316","avg"
"9","kra","1.0807560137457","avg"
"10","letszam","724.513745704467","avg"
"11","ttip","2","mode"
"12","kshregio","2","mode"
"13","ag1","3","mode"
"14","kol","0.29553264604811","avg"
"15","kag","0.063573883161512","avg"
"16","ksz","0.0446735395189003","avg"
"17","ev","2009"," "
