"","V1","V2","V3"
"1","pred_diff_B_RF_ordered","0.225462760078874"," "
"2","n","886"," "
"3","kor","42.0643340857788","avg"
"4","szolgho","81.7821670428894","avg"
"5","iskveg","3.29909706546275","avg"
"6","feor_2","28.1230248306998","avg"
"7","feor_2","29","mode"
"8","ara","3.99887133182844","avg"
"9","kra","1.06207674943567","avg"
"10","letszam","865.510158013544","avg"
"11","ttip","2","mode"
"12","kshregio","2","mode"
"13","ag1","3","mode"
"14","kol","0.293453724604966","avg"
"15","kag","0.04627539503386","avg"
"16","ksz","0.0124153498871332","avg"
"17","ev","2013"," "
