"","V1","V2","V3"
"1","pred_diff_B_RF_ordered","0.203259745575855"," "
"2","n","522"," "
"3","kor","41.9540229885057","avg"
"4","szolgho","84.4463601532567","avg"
"5","iskveg","3.17049808429119","avg"
"6","feor_2","29.1340996168582","avg"
"7","feor_2","30","mode"
"8","ara","3.99425287356322","avg"
"9","kra","1.06896551724138","avg"
"10","letszam","896.304597701149","avg"
"11","ttip","2","mode"
"12","kshregio","2","mode"
"13","ag1","3","mode"
"14","kol","0.164750957854406","avg"
"15","kag","0.0325670498084291","avg"
"16","ksz","0.0268199233716475","avg"
"17","ev","2015"," "
