"","V1","V2","V3"
"1","pred_diff_B_RF_ordered","0.318996721075912"," "
"2","n","815"," "
"3","kor","41.519018404908","avg"
"4","szolgho","81.4282208588957","avg"
"5","iskveg","3.18036809815951","avg"
"6","feor_2","26.6613496932515","avg"
"7","feor_2","28","mode"
"8","ara","3.99631901840491","avg"
"9","kra","1.06503067484663","avg"
"10","letszam","610.20245398773","avg"
"11","ttip","2","mode"
"12","kshregio","2","mode"
"13","ag1","3","mode"
"14","kol","0.25521472392638","avg"
"15","kag","0.0368098159509202","avg"
"16","ksz","0.0245398773006135","avg"
"17","ev","2010"," "
