"","V1","V2","V3"
"1","pred_diff_B_RF_ordered","0.269419491778877"," "
"2","n","819"," "
"3","kor","42.0671550671551","avg"
"4","szolgho","81.2258852258852","avg"
"5","iskveg","3.11111111111111","avg"
"6","feor_2","27.028083028083","avg"
"7","feor_2","29","mode"
"8","ara","3.997557997558","avg"
"9","kra","1.11721611721612","avg"
"10","letszam","809.090354090354","avg"
"11","ttip","2","mode"
"12","kshregio","2","mode"
"13","ag1","3","mode"
"14","kol","0.231990231990232","avg"
"15","kag","0.0354090354090354","avg"
"16","ksz","0.0512820512820513","avg"
"17","ev","2011"," "
