"","V1","V2","V3"
"1","pred_diff_B_RF_ordered","0.180706591201863"," "
"2","n","716"," "
"3","kor","42.645251396648","avg"
"4","szolgho","80.6187150837989","avg"
"5","iskveg","3.06424581005587","avg"
"6","feor_2","28.6340782122905","avg"
"7","feor_2","29","mode"
"8","ara","3.98743016759777","avg"
"9","kra","1.07821229050279","avg"
"10","letszam","875.811452513967","avg"
"11","ttip","2","mode"
"12","kshregio","3","mode"
"13","ag1","3","mode"
"14","kol","0.170391061452514","avg"
"15","kag","0.0488826815642458","avg"
"16","ksz","0.0418994413407821","avg"
"17","ev","2014"," "
